rank,world_size,backend,device,implementation,model_size,context_length,global_batch_size,local_batch_size,precision,bucket_size_mb,warmup_steps,measure_steps,mean_step_seconds,std_step_seconds,mean_sync_seconds,std_sync_seconds,sync_fraction,peak_memory_mb,last_loss
0,2,gloo,cpu,naive_flat,small,8,2,1,fp32,,1,1,3.02326662500127,0.0,1.3813389170027222,0.0,0.4569027771416429,0.0,6.885715484619141
1,2,gloo,cpu,naive_flat,small,8,2,1,fp32,,1,1,2.904963500004669,0.0,1.3783319170033792,0.0,0.47447477980400227,0.0,6.746466159820557
