rank,world_size,backend,device,size_mb,warmup_steps,measure_steps,mean_seconds,std_seconds,min_seconds,max_seconds
0,6,gloo,cpu,1,5,10,0.003788666599575663,0.00022518658503177923,0.0034932919952552766,0.004077500001585577
0,6,gloo,cpu,10,5,10,0.014470258299843409,0.000460412024598856,0.01386787500086939,0.015317666002374608
0,6,gloo,cpu,100,5,10,0.13963815419847378,0.0030493753538102485,0.13600295799551532,0.14630329200008418
0,6,gloo,cpu,1024,5,10,2.5174154959997397,0.11942254803555082,2.3524748339987127,2.7140198749984847
1,6,gloo,cpu,1,5,10,0.0037838124997506386,0.00019363018677094214,0.0034870409945142455,0.004079500002262648
1,6,gloo,cpu,10,5,10,0.014477541600354017,0.000593766504969431,0.013706416000786703,0.01565662500070175
1,6,gloo,cpu,100,5,10,0.13942966679896926,0.0026122353228350517,0.13555699999415083,0.1443223329988541
1,6,gloo,cpu,1024,5,10,2.5175932125996043,0.11133069153198402,2.351756750002096,2.6773462079945602
2,6,gloo,cpu,1,5,10,0.0037968041993735823,0.00023621867457749822,0.003479125000012573,0.0041915840047295205
2,6,gloo,cpu,10,5,10,0.014522325200232444,0.00047746461736711433,0.014012125000590459,0.015538708998064976
2,6,gloo,cpu,100,5,10,0.1398286123003345,0.0027297138480650894,0.1363803329950315,0.14398849999997765
2,6,gloo,cpu,1024,5,10,2.5185262709012024,0.11595571881780169,2.353617499997199,2.6879556250059977
3,6,gloo,cpu,1,5,10,0.0037678959008189848,0.00021817122321529919,0.003488834001473151,0.0041436669998802245
3,6,gloo,cpu,10,5,10,0.01446396239916794,0.0006945595377804204,0.013632041998789646,0.016031708000809886
3,6,gloo,cpu,100,5,10,0.13917233760003,0.0030776402590465494,0.13535600000614068,0.14576283299538773
3,6,gloo,cpu,1024,5,10,2.517276675198809,0.11670681270336743,2.3563974580029026,2.6805090839989134
4,6,gloo,cpu,1,5,10,0.0037856167000427376,0.00017645345758151155,0.003543749997334089,0.004003708003438078
4,6,gloo,cpu,10,5,10,0.014434833398263435,0.0005634052268309345,0.01367812499665888,0.01557416700234171
4,6,gloo,cpu,100,5,10,0.1396538250017329,0.00286854336921234,0.13604637500247918,0.14501329199993052
4,6,gloo,cpu,1024,5,10,2.516147229199123,0.11584186062815252,2.346765249996679,2.6800846249971073
5,6,gloo,cpu,1,5,10,0.00380098739915411,0.00018748777867304712,0.0035575000001699664,0.0041346660000272095
5,6,gloo,cpu,10,5,10,0.014411037499667146,0.0006023012577898162,0.013512624995200895,0.015483082999708131
5,6,gloo,cpu,100,5,10,0.13925910829930216,0.0030803603749171593,0.1350162500020815,0.14519424999889452
5,6,gloo,cpu,1024,5,10,2.520347645899892,0.11326407726425519,2.353559957999096,2.6919707089982694
